Batti bujha dae,__label__light_off
balab bujha dae,__label__light_off
balab band kar dae,__label__light_off
light band kr do,__label__light_off
light bujha do,__label__light_off
light off kar de,__label__light_off
make it dark,__label__light_off
Turn off the light,__label__light_off
Switch off the light,__label__light_off
Batti bujhaw tae,__label__light_off
bulb bujhaiye,__label__light_off
balab jala dae,__label__light_on
batti jala dae,__label__light_on
light jala do,__label__light_on
light on kar do,__label__light_on
light on ho ja,__label__light_on
bulb jala do,__label__light_on
light chalu kar do,__label__light_on
balab chalu kara ho,__label__light_on
batti jalaw tae,__label__light_on
batti jalaiye,__label__light_on
bulb jalaiye,__label__light_on
paani garam kare wala machiniya chalu kar dae,__label__geyser_on
paani garam kare wala machiniya start kar dae,__label__geyser_on
Turn on the geyser,__label__geyser_on
Switch on the geyser,__label__geyser_on
Geyser on,__label__geyser_on
Please turn on the geyser,__label__geyser_on
Paani garam karne wala machine chala do,__label__geyser_on
Paani garam karne wala machine on do,__label__geyser_on
Paani garam karne wala machine shuru kar do,__label__geyser_on
Paani garam karne wala machine start kar do,__label__geyser_on
machine chalu kar do paani garam karne wala,__label__geyser_on
paani garam kare wala machiniya band kar dae,__label__geyser_off
paani garam kare wala machiniya off kar dae,__label__geyser_off
Turn off the geyser,__label__geyser_off
Switch off the geyser,__label__geyser_off
Geyser off,__label__geyser_off
Please turn off the geyser,__label__geyser_off
Paani garam karne wala machine band kar do,__label__geyser_off
Paani garam karne wala machine off kar do,__label__geyser_off
machine band kar do paani garam karne wala,__label__geyser_off
